Dataset,Mixture 1,Mixture 2,Experimental Values
Bushdid,217,252,0.461538461538462
Bushdid,343,518,0.846153846153846
Bushdid,407,338,0.730769230769231
Bushdid,483,449,0.846153846153846
Bushdid,51,433,0.461538461538462
Bushdid,245,164,0.576923076923077
Bushdid,69,382,0.692307692307692
Bushdid,125,401,0.730769230769231
Bushdid,350,459,0.538461538461538
Bushdid,22,275,0.807692307692308
