Dataset,Mixture Label,CID_1,CID_2,CID_3,CID_4,CID_5,CID_6,CID_7,CID_8,CID_9,CID_10,CID_11,CID_12,CID_13,CID_14,CID_15,CID_16,CID_17,CID_18,CID_19,CID_20,CID_21,CID_22,CID_23,CID_24,CID_25,CID_26,CID_27,CID_28,CID_29,CID_30,CID_31,CID_32,CID_33,CID_34,CID_35,CID_36,CID_37,CID_38,CID_39,CID_40,CID_41,CID_42,CID_43
Ravia 4,65,1031,176,3776,14286,19310,6561,7793,12020,263,6276,7284,8103,10890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,66,7799,1068,1031,180,3776,7363,8025,19310,6561,264,12020,62336,6584,1032,6276,10448,261,5318042,10890,31266,8842,10430,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,67,1068,3776,7363,61138,443158,527,1032,84682,7284,637776,3314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,68,7799,1068,6590,1031,176,180,7363,7150,14286,61138,6561,12020,9609,6584,84682,6276,10448,8857,7284,11173,261,5284503,8103,637566,637776,10890,3314,8842,10430,0,,,,,,,,,,,,,
Ravia 4,69,61138,264,11552,9609,8063,6276,10448,11173,5284503,8103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,70,1068,8025,6561,264,22386,263,9609,6584,6569,261,5318042,10890,3314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,71,1031,3776,7150,22386,6584,8063,6276,8857,261,8103,31266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,72,7799,1068,31244,1031,7793,264,62336,9609,6584,1032,6276,8857,7895,7284,11173,261,5284503,24915,3314,8842,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,73,31244,1031,176,180,3776,7363,19310,6561,443158,264,11552,12020,62336,9609,1032,6569,84682,8063,6276,7895,7284,11173,261,5284503,5318042,637566,638011,10890,31266,0,,,,,,,,,,,,,
Ravia 4,74,6590,176,6561,443158,264,11552,12020,62336,6569,84682,10448,8857,261,5318042,637566,638011,637776,10890,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,75,1068,31244,61138,527,9609,6569,10448,7895,261,5318042,8103,638011,8842,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,76,6590,3776,7150,8025,263,9609,8857,261,637776,24915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,77,1068,31244,7150,14286,8025,7793,264,22386,261,5318042,31266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,78,180,7363,7793,11552,12020,22386,263,84682,6276,7895,7284,261,5284503,5318042,8103,638011,637776,24915,3314,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,79,1068,1031,61138,7793,10448,7284,637566,637776,31266,3314,8842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,80,1068,6590,61138,6561,7793,22386,8857,11173,261,638011,637776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,81,6590,176,7363,14286,443158,11552,12020,22386,10448,7284,11173,5284503,5318042,637566,638011,637776,10890,31266,3314,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,82,1068,31244,180,7363,7150,8025,7793,443158,264,527,9609,6584,1032,84682,6276,10448,8857,7284,11173,5284503,8103,637566,638011,637776,3314,10430,0,0,0,0,,,,,,,,,,,,,
Ravia 4,83,6590,176,7150,8025,19310,443158,264,6569,11173,261,8103,637566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,84,180,3776,7363,7150,61138,8025,7793,11552,12020,22386,62336,527,6584,84682,8063,6276,10448,638011,637776,10890,24915,31266,8842,10430,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,85,31244,180,8025,6561,11552,527,263,6584,84682,6276,8857,11173,261,10890,24915,3314,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,86,1068,6590,31244,1031,3776,7363,7150,8025,19310,6561,443158,264,11552,12020,62336,527,9609,6584,1032,10448,8857,11173,261,8103,638011,10890,31266,3314,10430,0,,,,,,,,,,,,,
Ravia 4,87,1068,6590,31244,176,3776,7150,8025,19310,7793,443158,264,12020,22386,1032,6569,84682,8063,6276,10448,8857,11173,5318042,8103,637566,638011,637776,3314,8842,10430,0,,,,,,,,,,,,,
Ravia 4,88,1068,3776,7363,61138,8025,19310,22386,62336,84682,8063,6276,10448,7284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,89,1031,180,7363,7150,8025,6561,443158,264,11552,12020,527,263,6584,6569,6276,10448,7284,5284503,637566,638011,31266,8842,10430,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,90,1068,1031,61138,19310,11552,12020,8063,6276,10448,8857,7895,638011,24915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,91,1031,176,7363,14286,8025,7793,443158,527,263,6584,6276,10448,8857,7895,11173,5318042,637566,638011,10890,31266,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,92,1031,180,7363,7150,8025,6561,443158,264,11552,12020,527,263,6584,6569,6276,10448,7284,5284503,637566,638011,31266,8842,10430,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,93,1068,3776,7150,61138,19310,443158,264,12020,22386,62336,7284,5284503,8103,637566,24915,31266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,94,6590,3776,7363,7150,61138,8025,7793,443158,12020,22386,263,6569,84682,6276,10448,8857,7895,11173,261,5284503,8103,638011,10890,24915,31266,3314,8842,10430,0,0,,,,,,,,,,,,,
Ravia 4,95,6590,180,3776,443158,22386,263,9609,1032,84682,7284,11173,10890,3314,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,96,1068,6590,31244,180,3776,7363,7150,61138,8025,19310,264,11552,22386,527,1032,6569,8063,6276,10448,8857,261,5284503,5318042,8103,638011,10890,24915,31266,3314,10430,,,,,,,,,,,,,
Ravia 4,97,6590,31244,1031,7150,19310,6561,7793,264,12020,62336,263,9609,84682,8063,6276,10448,8857,11173,261,5284503,5318042,637566,638011,24915,8842,10430,0,0,0,0,,,,,,,,,,,,,
Ravia 4,98,6590,180,3776,7363,8025,19310,12020,22386,263,1032,6569,10448,7284,637776,31266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,99,1068,31244,180,7363,7150,8025,7793,443158,264,527,9609,6584,1032,84682,6276,10448,8857,7284,11173,5284503,8103,637566,638011,637776,3314,10430,0,0,0,0,,,,,,,,,,,,,
Ravia 4,100,1031,61138,8025,19310,6561,7793,11552,22386,527,9609,1032,10448,7284,11173,261,5284503,8103,638011,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,101,3776,7363,7150,6561,7793,12020,22386,527,6584,1032,6569,84682,8063,6276,7284,5318042,8103,637566,637776,31266,8842,10430,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,102,7799,6590,31244,176,7363,14286,61138,6561,62336,9609,6584,1032,84682,11173,5284503,3314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,103,1068,3776,7150,14286,61138,8025,19310,6561,7793,443158,11552,22386,62336,263,6584,84682,6276,10448,8857,7895,5284503,5318042,8103,637566,638011,24915,3314,10430,0,0,,,,,,,,,,,,,
Ravia 4,104,1068,6590,31244,1031,176,7363,14286,61138,8025,19310,6561,11552,62336,527,263,9609,8063,6276,10448,7895,261,5284503,5318042,8103,637566,638011,24915,3314,8842,10430,,,,,,,,,,,,,
Ravia 4,105,7799,3776,7150,19310,6561,6569,84682,6276,11173,637566,31266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,106,7799,1068,6590,176,7363,14286,8025,6561,7793,11552,263,9609,1032,6569,84682,8063,10448,7895,7284,11173,261,8103,637566,638011,10890,31266,8842,10430,0,0,,,,,,,,,,,,,
Ravia 4,107,31244,180,8025,19310,22386,263,10448,7895,10890,3314,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,108,180,3776,7150,6561,7793,264,11552,22386,527,8857,7895,261,8842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,109,176,180,7363,264,12020,263,9609,1032,84682,6276,7895,11173,638011,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,110,3776,14286,8025,19310,443158,264,11552,12020,22386,62336,527,263,1032,6569,8063,10448,8857,7895,7284,261,5284503,8103,637566,637776,10890,24915,31266,8842,0,0,,,,,,,,,,,,,
Ravia 4,111,7799,1068,31244,3776,7150,14286,19310,6561,7793,12020,62336,263,6584,6276,10448,7284,5284503,8103,637566,637776,31266,8842,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,112,1068,6590,31244,1031,3776,7363,7150,14286,6561,11552,12020,62336,527,9609,1032,6569,8063,6276,7284,11173,5318042,8103,3314,8842,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,113,3776,7363,7150,8025,19310,264,12020,263,9609,84682,10448,7895,7284,5284503,5318042,8103,638011,24915,3314,10430,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,114,7799,1068,31244,1031,180,7363,7150,14286,8025,6561,264,22386,62336,263,9609,1032,84682,8063,6276,10448,11173,5284503,8103,637566,638011,24915,10430,0,0,0,,,,,,,,,,,,,
Ravia 4,115,7799,1068,31244,176,180,3776,7363,7150,14286,61138,19310,7793,443158,11552,12020,263,6584,1032,6569,84682,7895,11173,261,5318042,8103,637566,637776,24915,31266,10430,,,,,,,,,,,,,
Ravia 4,116,7799,31244,1031,7363,14286,8025,19310,7793,12020,62336,8063,6276,7895,637776,31266,3314,8842,10430,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,117,6590,1031,176,180,7363,7150,14286,8025,19310,6561,7793,264,11552,62336,263,84682,8063,6276,10448,7895,11173,261,5284503,5318042,10890,31266,8842,10430,0,0,,,,,,,,,,,,,
Ravia 4,118,1068,1031,180,3776,14286,61138,8025,6561,7793,264,11552,12020,22386,263,6584,1032,8063,7284,5284503,8103,637776,10890,24915,8842,10430,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,119,7799,3776,264,62336,6569,10448,261,5284503,638011,10890,24915,31266,8842,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ravia 4,120,7799,1068,7150,19310,7793,264,527,263,6569,8857,7284,11173,261,8103,10890,24915,31266,8842,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Bushdid,497,440917,5281515,8030,3314,31272,798,6184,8892,8025,6054,7463.0,8148.0,999.0,1060.0,22873.0,10890.0,61138.0,2879.0,10430.0,8048.0,6561.0,22386.0,11509.0,443162.0,8797.0,16666.0,7749.0,7793.0,7799.0,7762.0,,,,,,,,,,,,,
Bushdid,385,12232,7731,7888,7966,7848,18827,443158,1068,2758,7710,326.0,1146.0,637511.0,10976.0,12741.0,8118.0,6501.0,8858.0,1127.0,10821.0,8103.0,7344.0,8051.0,7921.0,460.0,7583.0,11002.0,12367.0,6590.0,7991.0,,,,,,,,,,,,,
Bushdid,37,62444,62336,7848,8051,5281515,454,7600,3776,12367,261,7714.0,443158.0,19310.0,62465.0,4133.0,8635.0,1146.0,8797.0,6561.0,637511.0,7165.0,31249.0,7799.0,7583.0,8030.0,6736.0,62433.0,61138.0,999.0,6654.0,,,,,,,,,,,,,
Bushdid,101,1140,7685,15380,5283349,176,8858,177,8091,8918,61016,5373603.0,440917.0,440967.0,7654.0,7749.0,6544.0,612.0,637566.0,22873.0,7793.0,12180.0,12020.0,10976.0,1127.0,6989.0,10882.0,7921.0,91497.0,7762.0,11124.0,,,,,,,,,,,,,
Bushdid,223,8148,10722,12020,31276,7685,798,61138,7344,7848,8130,12178.0,10821.0,31272.0,443158.0,6561.0,999.0,12348.0,8051.0,11124.0,10560.0,264.0,14286.0,24915.0,7749.0,7519.0,6544.0,6054.0,22873.0,261.0,12741.0,,,,,,,,,,,,,
Bushdid,412,31265,8118,5373603,6654,7966,8918,10890,11552,3314,62444,31244.0,8858.0,7762.0,6184.0,3776.0,19310.0,440917.0,11509.0,5281515.0,31249.0,91497.0,12180.0,11002.0,7921.0,93009.0,10976.0,7731.0,460.0,2969.0,1060.0,,,,,,,,,,,,,
Bushdid,477,12232,7710,19310,440917,5373603,11002,8103,2758,7888,3776,10976.0,637566.0,10882.0,7344.0,10722.0,8797.0,3314.0,7848.0,2969.0,180.0,5283349.0,6736.0,31265.0,7059.0,460.0,1127.0,22873.0,5281515.0,7460.0,7966.0,,,,,,,,,,,,,
Bushdid,376,4133,798,10821,7731,12741,7714,12367,1140,240,326,7762.0,91497.0,443162.0,62336.0,8051.0,6544.0,8030.0,8130.0,6561.0,8635.0,93009.0,62465.0,62444.0,11552.0,12020.0,26331.0,61016.0,15380.0,61138.0,24915.0,,,,,,,,,,,,,
Bushdid,57,10821,7966,10430,7749,8025,8148,8186,7991,443162,179,16666.0,8048.0,4133.0,62465.0,12367.0,6054.0,2758.0,8797.0,8130.0,12741.0,8892.0,176.0,440917.0,11552.0,177.0,7921.0,637511.0,8118.0,61138.0,62336.0,,,,,,,,,,,,,
Bushdid,458,637566,7344,1060,31272,12178,1140,6544,93009,7463,7600,7793.0,612.0,19310.0,5281168.0,5283349.0,240.0,7731.0,326.0,8051.0,8918.0,1068.0,5373603.0,7363.0,6501.0,798.0,8030.0,14286.0,7583.0,5634.0,62444.0,,,,,,,,,,,,,
Bushdid,39,7165,10430,22201,2758,7059,24915,7888,1060,7991,7654,454.0,6982.0,8797.0,7921.0,7583.0,1140.0,12741.0,1031.0,443162.0,7410.0,12367.0,91497.0,26331.0,7749.0,8030.0,6736.0,62444.0,7600.0,7762.0,8148.0,,,,,,,,,,,,,
Bushdid,372,637511,440967,15380,3776,8892,11552,5634,6054,11509,1127,10560.0,7632.0,7731.0,10722.0,180.0,179.0,10882.0,19310.0,798.0,5373603.0,7793.0,61016.0,6654.0,22873.0,8918.0,3314.0,2969.0,261.0,12232.0,637566.0,,,,,,,,,,,,,
Bushdid,48,62433,8025,7991,8918,6736,1127,8797,12348,637566,3776,8186.0,10821.0,460.0,12232.0,6054.0,6982.0,11509.0,8051.0,8103.0,31244.0,1060.0,22386.0,12178.0,31249.0,1031.0,7710.0,454.0,177.0,7749.0,7685.0,,,,,,,,,,,,,
Bushdid,180,7632,61016,7966,440967,10890,5281168,7463,1146,240,8118,8858.0,11124.0,7921.0,6590.0,2758.0,31276.0,440917.0,7799.0,7888.0,62336.0,12020.0,91497.0,6501.0,5634.0,261.0,15380.0,2879.0,6654.0,326.0,179.0,,,,,,,,,,,,,
Bushdid,265,1146,3314,62433,2879,179,5281515,10821,8051,11552,22201,1060.0,7600.0,5634.0,31244.0,2969.0,8025.0,10882.0,12741.0,7165.0,61016.0,7710.0,6184.0,612.0,264.0,11509.0,12367.0,22386.0,7799.0,7583.0,91497.0,,,,,,,,,,,,,
Bushdid,366,261,7714,24915,7731,8091,440967,7966,6736,14286,6989,2758.0,637511.0,7793.0,8635.0,454.0,7519.0,177.0,31265.0,440917.0,7410.0,6654.0,93009.0,12348.0,5373603.0,7460.0,8858.0,8118.0,18827.0,7921.0,7059.0,,,,,,,,,,,,,
Bushdid,298,2969,10722,1140,10976,7685,2879,7059,61016,7460,12020,8918.0,10882.0,8858.0,326.0,5281168.0,443162.0,8797.0,62433.0,11552.0,61138.0,12367.0,7714.0,7363.0,31272.0,7583.0,62336.0,7463.0,31276.0,7731.0,6982.0,,,,,,,,,,,,,
Bushdid,273,8103,798,8186,8048,14286,7888,261,1127,7150,7654,443158.0,7848.0,6054.0,10560.0,6561.0,26331.0,8091.0,7799.0,12232.0,22386.0,1068.0,8635.0,6501.0,1060.0,93009.0,637566.0,454.0,3776.0,18827.0,176.0,,,,,,,,,,,,,
Bushdid,96,24915,7519,7799,91497,61016,6989,10976,11509,2758,93009,10560.0,7632.0,6561.0,240.0,5373603.0,637566.0,7793.0,2879.0,11002.0,62336.0,798.0,6590.0,31249.0,8091.0,1031.0,22873.0,62465.0,8051.0,7583.0,7059.0,,,,,,,,,,,,,
Bushdid,321,7991,637511,10890,6736,1068,7921,14286,8030,7363,6654,31276.0,3314.0,999.0,8148.0,6982.0,5281168.0,326.0,1060.0,22201.0,62444.0,6054.0,2969.0,7749.0,12020.0,8103.0,179.0,8635.0,440917.0,31272.0,180.0,,,,,,,,,,,,,
Bushdid,194,7363,24915,612,8103,8030,261,5373603,8635,8118,7410,31265.0,2969.0,999.0,443158.0,5634.0,179.0,10430.0,7799.0,7731.0,1068.0,7966.0,31244.0,6654.0,7685.0,10560.0,8048.0,440917.0,1060.0,7991.0,443162.0,,,,,,,,,,,,,
Bushdid,219,6982,8091,7583,7460,798,6054,7600,12367,4133,12180,6736.0,7519.0,6561.0,62336.0,11002.0,1140.0,10882.0,180.0,7710.0,8025.0,7749.0,7762.0,637566.0,31272.0,7463.0,440967.0,7150.0,3314.0,176.0,240.0,,,,,,,,,,,,,
Bushdid,396,31276,1060,6982,7966,31249,10882,7991,8858,7583,8048,6590.0,18827.0,15380.0,612.0,2758.0,11509.0,8918.0,3776.0,8025.0,7165.0,6544.0,5281168.0,8118.0,14286.0,7749.0,8130.0,637511.0,1146.0,264.0,1031.0,,,,,,,,,,,,,
Bushdid,358,7363,999,12741,8030,11124,7888,8635,10821,5283349,261,7463.0,8091.0,2969.0,61138.0,12348.0,177.0,12232.0,7410.0,11002.0,7714.0,22201.0,326.0,7848.0,10430.0,7519.0,24915.0,22873.0,6561.0,7921.0,16666.0,,,,,,,,,,,,,
Bushdid,155,8635,7685,7762,6590,7966,637566,22873,7714,31272,6736,443162.0,12232.0,460.0,8118.0,62465.0,62433.0,24915.0,16666.0,7519.0,326.0,7848.0,8186.0,5634.0,10821.0,264.0,10722.0,177.0,5281515.0,12348.0,93009.0,,,,,,,,,,,,,
Bushdid,122,12020,10560,8892,7165,7710,61138,8797,91497,3314,19310,6989.0,2969.0,6982.0,3776.0,1068.0,31265.0,8051.0,7793.0,7654.0,1031.0,8858.0,7460.0,7632.0,14286.0,12180.0,176.0,8030.0,1060.0,240.0,8048.0,,,,,,,,,,,,,
Bushdid,42,61138,18827,999,7150,11002,2969,5283349,10430,14286,10882,264.0,177.0,5281168.0,10890.0,4133.0,440917.0,8025.0,8091.0,5634.0,7363.0,5373603.0,91497.0,31249.0,61016.0,16666.0,1060.0,62444.0,6654.0,460.0,7991.0,,,,,,,,,,,,,
Bushdid,482,7059,612,8918,12180,440967,22386,2879,31272,798,637511,12178.0,31244.0,22201.0,454.0,15380.0,1127.0,6982.0,6590.0,3314.0,7749.0,8797.0,8130.0,7654.0,7848.0,7762.0,1140.0,8103.0,2758.0,12348.0,1068.0,,,,,,,,,,,,,
Bushdid,154,264,22386,1127,180,7344,8048,8858,8025,7519,16666,12348.0,7059.0,6736.0,4133.0,454.0,31272.0,8030.0,10821.0,261.0,93009.0,62433.0,1140.0,7793.0,5634.0,7460.0,24915.0,637566.0,440917.0,3776.0,6054.0,,,,,,,,,,,,,
Bushdid,233,8148,10722,8892,10560,1068,5283349,10890,7710,7731,11002,1146.0,8918.0,7583.0,6654.0,31249.0,22201.0,91497.0,7150.0,7762.0,11124.0,15380.0,8103.0,6501.0,61138.0,240.0,7921.0,11509.0,612.0,5281515.0,18827.0,,,,,,,,,,,,,
Bushdid,150,62444,11552,8148,8118,15380,6654,443158,6989,4133,264,10882.0,1060.0,999.0,16666.0,440917.0,93009.0,261.0,8030.0,7685.0,7991.0,3314.0,177.0,6054.0,179.0,22873.0,6736.0,12180.0,8186.0,440967.0,62336.0,,,,,,,,,,,,,
Bushdid,355,12741,5373603,10821,7059,7710,7799,7150,31249,62465,7966,1031.0,19310.0,7749.0,326.0,31244.0,7463.0,798.0,8051.0,5283349.0,11124.0,8130.0,22386.0,6544.0,5281515.0,6501.0,637566.0,8091.0,8048.0,7363.0,7519.0,,,,,,,,,,,,,
Bushdid,53,26331,6544,7460,6501,6654,6054,1068,10890,8797,7059,12367.0,6982.0,7685.0,6989.0,19310.0,91497.0,5634.0,8051.0,999.0,7654.0,179.0,8186.0,7363.0,11002.0,7793.0,8103.0,7150.0,7888.0,7583.0,31272.0,,,,,,,,,,,,,
Bushdid,344,62444,8892,5283349,7410,7600,7344,62433,7165,326,16666,10821.0,8091.0,12020.0,180.0,176.0,460.0,8858.0,6184.0,177.0,61138.0,7463.0,440917.0,15380.0,1146.0,5281515.0,3776.0,2758.0,31276.0,7921.0,10430.0,,,,,,,,,,,,,
Bushdid,232,6544,7685,8103,1127,62465,7600,2969,7654,7463,10430,26331.0,61016.0,7460.0,19310.0,8186.0,11552.0,7410.0,2758.0,637566.0,6989.0,612.0,8148.0,637511.0,12741.0,7991.0,6054.0,62433.0,6590.0,460.0,6736.0,,,,,,,,,,,,,
Bushdid,206,24915,6982,11509,177,1146,31244,31265,11124,8130,15380,3314.0,7344.0,7519.0,180.0,6654.0,7731.0,1031.0,440967.0,10722.0,8892.0,16666.0,12232.0,7793.0,454.0,7150.0,8118.0,7921.0,12348.0,1140.0,8091.0,,,,,,,,,,,,,
Bushdid,195,2758,12180,7685,12348,637566,264,8103,7966,31244,454,3314.0,10882.0,7710.0,16666.0,6590.0,3776.0,6501.0,1127.0,7059.0,8635.0,8118.0,7714.0,12232.0,999.0,14286.0,12741.0,7463.0,1031.0,440967.0,6654.0,,,,,,,,,,,,,
Bushdid,445,7731,12367,19310,8892,180,62444,11124,6054,1068,2879,443162.0,6736.0,31249.0,7762.0,61138.0,8025.0,798.0,7921.0,31265.0,91497.0,22873.0,8797.0,8051.0,261.0,7460.0,460.0,326.0,7583.0,5283349.0,31272.0,,,,,,,,,,,,,
Bushdid,407,176,7749,7059,6590,454,12741,3776,31244,6982,6561,261.0,12348.0,16666.0,8858.0,798.0,11552.0,440967.0,7150.0,10430.0,1031.0,7463.0,8103.0,1127.0,7848.0,6654.0,6736.0,1146.0,460.0,7731.0,7888.0,,,,,,,,,,,,,
Bushdid,338,91497,10821,15380,10890,10722,22386,19310,6501,8918,31276,5373603.0,7654.0,7762.0,7363.0,443158.0,18827.0,1060.0,637511.0,26331.0,7583.0,10882.0,7921.0,12180.0,4133.0,5283349.0,62433.0,8091.0,264.0,3314.0,12178.0,,,,,,,,,,,,,
Bushdid,256,8048,5281168,7888,93009,1031,440917,7762,7150,31249,8892,62433.0,7714.0,2879.0,2969.0,7410.0,7731.0,10821.0,14286.0,10976.0,7921.0,7848.0,91497.0,62465.0,8635.0,61138.0,5281515.0,6561.0,8030.0,11509.0,22386.0,,,,,,,,,,,,,
Bushdid,317,8048,5281168,7888,93009,1031,440917,7762,7150,31249,8892,16666.0,7799.0,7654.0,5283349.0,7583.0,31272.0,4133.0,460.0,61016.0,176.0,12741.0,1060.0,12180.0,62444.0,22201.0,7600.0,443162.0,10882.0,6654.0,261.0,,,,,,,,,,,,,
Bushdid,218,62336,460,8103,6054,1127,637511,7632,12367,7685,8858,12020.0,14286.0,12178.0,264.0,24915.0,798.0,5634.0,7654.0,11552.0,7463.0,93009.0,10882.0,6544.0,637566.0,1068.0,12180.0,240.0,10722.0,31249.0,8918.0,,,,,,,,,,,,,
Bushdid,73,62336,460,8103,6054,1127,637511,7632,12367,7685,8858,31272.0,16666.0,7966.0,261.0,10821.0,26331.0,8025.0,443158.0,62444.0,326.0,176.0,8148.0,12348.0,180.0,1146.0,15380.0,443162.0,31265.0,454.0,7583.0,,,,,,,,,,,,,
Bushdid,105,7710,7921,5373603,176,31276,4133,8025,12232,8051,3314,31265.0,443162.0,7600.0,6561.0,7519.0,8635.0,180.0,5283349.0,6654.0,10890.0,22873.0,16666.0,10821.0,8918.0,6989.0,11552.0,1031.0,12348.0,2758.0,62444.0,,,,,,,,,,,,,
Bushdid,198,7710,7921,5373603,176,31276,4133,8025,12232,8051,3314,6982.0,62433.0,91497.0,261.0,10560.0,443158.0,10882.0,14286.0,7966.0,7714.0,8048.0,7150.0,7654.0,5634.0,12367.0,999.0,11124.0,7749.0,8148.0,6590.0,,,,,,,,,,,,,
Bushdid,197,637566,1146,1127,7714,177,6989,5634,2969,10821,1031,11509.0,8892.0,62444.0,443162.0,7848.0,5373603.0,2879.0,12020.0,12367.0,440967.0,7632.0,8130.0,22386.0,7344.0,798.0,12180.0,7583.0,7519.0,5283349.0,1068.0,,,,,,,,,,,,,
Bushdid,507,637566,1146,1127,7714,177,6989,5634,2969,10821,1031,10882.0,93009.0,15380.0,31272.0,7410.0,31244.0,7731.0,8797.0,11124.0,7966.0,6561.0,7991.0,5281515.0,8025.0,999.0,180.0,7059.0,18827.0,91497.0,7921.0,,,,,,,,,,,,,
Bushdid,373,8918,798,5283349,2969,14286,443162,6654,22386,6561,5373603,62465.0,24915.0,7921.0,6989.0,8118.0,7966.0,8797.0,1068.0,7731.0,62444.0,176.0,7632.0,10722.0,460.0,8148.0,31244.0,443158.0,8048.0,8025.0,637566.0,,,,,,,,,,,,,
Bushdid,165,8918,798,5283349,2969,14286,443162,6654,22386,6561,5373603,5634.0,1146.0,999.0,7583.0,1031.0,454.0,22873.0,31265.0,7685.0,6982.0,7799.0,6590.0,10560.0,16666.0,7710.0,2879.0,12178.0,11124.0,7344.0,5281168.0,,,,,,,,,,,,,
Bushdid,239,31276,12367,7410,12741,11002,8130,7710,31265,7583,19310,8030.0,6501.0,62336.0,637511.0,440917.0,12178.0,31249.0,8797.0,10430.0,18827.0,5373603.0,3314.0,6184.0,7600.0,7793.0,6590.0,6982.0,15380.0,7632.0,7921.0,,,,,,,,,,,,,
Bushdid,128,31276,12367,7410,12741,11002,8130,7710,31265,7583,19310,6544.0,6054.0,8635.0,7150.0,7991.0,7463.0,8892.0,179.0,14286.0,7344.0,261.0,7714.0,180.0,1031.0,22873.0,62433.0,12232.0,798.0,31272.0,8186.0,,,,,,,,,,,,,
Bushdid,99,1140,8025,7710,8918,7731,637511,5634,8118,180,62433,6989.0,5373603.0,6054.0,1127.0,12020.0,440967.0,7654.0,1031.0,31265.0,16666.0,61016.0,6982.0,612.0,6590.0,7519.0,454.0,7344.0,8797.0,7059.0,18827.0,,,,,,,,,,,,,
Bushdid,222,1140,8025,7710,8918,7731,637511,5634,8118,180,62433,7793.0,5283349.0,443162.0,7762.0,7966.0,7848.0,3314.0,26331.0,19310.0,7600.0,1068.0,2969.0,31272.0,12348.0,7921.0,15380.0,7799.0,10882.0,6736.0,1146.0,,,,,,,,,,,,,
