Dataset,Mixture 1,Mixture 2,Experimental Values,augmentation_Action
Snitz 2,5773,6,0.688897466,add_1-2
Snitz 2,5774,6,0.688897466,add_1-2
Snitz 2,5775,6,0.688897466,add_1-2
Snitz 2,5776,6,0.688897466,add_1-2
Snitz 2,5777,2,0.688897466,add_2-1
Snitz 2,5778,2,0.688897466,add_2-1
Snitz 2,5779,2,0.688897466,add_2-1
Snitz 2,5780,2,0.688897466,add_2-1
Snitz 2,5781,6,0.688897466,remove_1-2
Snitz 2,5782,2,0.548093475,add_1-2
Snitz 2,5783,2,0.548093475,add_1-2
Snitz 2,5784,2,0.548093475,add_1-2
Snitz 2,5785,2,0.548093475,add_1-2
Snitz 2,5786,2,0.548093475,add_1-2
Snitz 2,5787,8,0.548093475,add_2-1
Snitz 2,5788,8,0.548093475,add_2-1
Snitz 2,5789,8,0.548093475,add_2-1
Snitz 2,5790,8,0.548093475,add_2-1
Snitz 2,5791,8,0.548093475,add_2-1
Snitz 2,5792,9,0.441539564,add_1-2
Snitz 2,5793,9,0.441539564,add_1-2
Snitz 2,5794,9,0.441539564,add_1-2
Snitz 2,5795,9,0.441539564,add_1-2
Snitz 2,5796,9,0.441539564,add_1-2
Snitz 2,5797,9,0.441539564,add_1-2
Snitz 2,5798,9,0.441539564,add_1-2
Snitz 2,5799,8,0.441539564,add_2-1
Snitz 2,5800,8,0.441539564,add_2-1
Snitz 2,5801,8,0.441539564,add_2-1
Snitz 2,5802,8,0.441539564,add_2-1
Snitz 2,5803,9,0.441539564,remove_1-2
Snitz 2,5804,7,0.728967095,add_1-2
Snitz 2,5805,7,0.728967095,add_1-2
Snitz 2,5806,7,0.728967095,add_1-2
Snitz 2,5807,7,0.728967095,add_1-2
Snitz 2,5808,7,0.728967095,add_1-2
Snitz 2,5809,7,0.728967095,add_1-2
Snitz 2,5810,7,0.728967095,add_1-2
Snitz 2,5811,6,0.728967095,add_2-1
Snitz 2,5812,6,0.728967095,add_2-1
Snitz 2,5813,6,0.728967095,add_2-1
Snitz 2,5814,6,0.728967095,add_2-1
Snitz 2,5815,6,0.728967095,add_2-1
Snitz 2,5816,6,0.728967095,add_2-1
Snitz 2,5817,10,0.715333919,add_1-2
Snitz 2,5818,10,0.715333919,add_1-2
Snitz 2,5819,10,0.715333919,add_1-2
Snitz 2,5820,10,0.715333919,add_1-2
Snitz 2,5821,10,0.715333919,add_1-2
Snitz 2,5822,10,0.715333919,add_1-2
Snitz 2,5823,10,0.715333919,add_1-2
Snitz 2,5824,10,0.715333919,add_1-2
Snitz 2,5825,10,0.715333919,add_1-2
Snitz 2,5826,6,0.715333919,add_2-1
Snitz 2,5827,6,0.715333919,add_2-1
Snitz 2,5828,6,0.715333919,add_2-1
Snitz 2,5829,6,0.715333919,add_2-1
Snitz 2,5830,6,0.715333919,add_2-1
Snitz 2,5831,6,0.715333919,add_2-1
Snitz 2,5832,11,0.62178788,add_1-2
Snitz 2,5833,11,0.62178788,add_1-2
Snitz 2,5834,11,0.62178788,add_1-2
Snitz 2,5835,11,0.62178788,add_1-2
Snitz 2,5836,11,0.62178788,add_1-2
Snitz 2,5837,11,0.62178788,add_1-2
Snitz 2,5838,11,0.62178788,add_1-2
Snitz 2,5839,11,0.62178788,add_1-2
Snitz 2,5840,11,0.62178788,add_1-2
Snitz 2,5841,6,0.62178788,add_2-1
Snitz 2,5842,6,0.62178788,add_2-1
Snitz 2,5843,6,0.62178788,add_2-1
Snitz 2,5844,6,0.62178788,add_2-1
Snitz 2,5845,6,0.62178788,add_2-1
Snitz 2,5846,11,0.62178788,remove_1-2
Snitz 2,5847,5,0.707735537,add_1-2
Snitz 2,5848,5,0.707735537,add_1-2
Snitz 2,5849,5,0.707735537,add_1-2
Snitz 2,5850,12,0.707735537,add_2-1
Snitz 2,5851,12,0.707735537,add_2-1
Snitz 2,5852,12,0.707735537,add_2-1
Snitz 2,5853,12,0.707735537,add_2-1
Snitz 2,5854,12,0.707735537,add_2-1
Snitz 2,5855,5,0.707735537,remove_1-2
Snitz 2,5856,2,0.671511581,add_1-2
Snitz 2,5857,2,0.671511581,add_1-2
Snitz 2,5858,2,0.671511581,add_1-2
Snitz 2,5859,2,0.671511581,add_1-2
Snitz 2,5860,2,0.671511581,add_1-2
Snitz 2,5861,12,0.671511581,add_2-1
Snitz 2,5862,12,0.671511581,add_2-1
Snitz 2,5863,12,0.671511581,add_2-1
Snitz 2,5864,12,0.671511581,add_2-1
Snitz 2,5865,12,0.671511581,add_2-1
Snitz 2,5866,12,0.671511581,add_2-1
Snitz 2,5867,6,0.640651637,add_1-2
Snitz 2,5868,6,0.640651637,add_1-2
Snitz 2,5869,6,0.640651637,add_1-2
Snitz 2,5870,6,0.640651637,add_1-2
Snitz 2,5871,6,0.640651637,add_1-2
Snitz 2,5872,6,0.640651637,add_1-2
Snitz 2,5873,12,0.640651637,add_2-1
Snitz 2,5874,12,0.640651637,add_2-1
Snitz 2,5875,12,0.640651637,add_2-1
Snitz 2,5876,12,0.640651637,add_2-1
Snitz 2,5877,12,0.640651637,add_2-1
Snitz 2,5878,12,0.640651637,add_2-1
Snitz 2,5879,10,0.62904294,add_1-2
Snitz 2,5880,10,0.62904294,add_1-2
Snitz 2,5881,10,0.62904294,add_1-2
Snitz 2,5882,10,0.62904294,add_1-2
Snitz 2,5883,10,0.62904294,add_1-2
Snitz 2,5884,10,0.62904294,add_1-2
Snitz 2,5885,10,0.62904294,add_1-2
Snitz 2,5886,10,0.62904294,add_1-2
Snitz 2,5887,12,0.62904294,add_2-1
Snitz 2,5888,12,0.62904294,add_2-1
Snitz 2,5889,12,0.62904294,add_2-1
Snitz 2,5890,12,0.62904294,add_2-1
Snitz 2,5891,12,0.62904294,add_2-1
Snitz 2,5892,10,0.62904294,remove_1-2
Snitz 2,5893,1,0.641323935,add_1-2
Snitz 2,5894,1,0.641323935,add_1-2
Snitz 2,5895,1,0.641323935,add_1-2
Snitz 2,5896,1,0.641323935,add_1-2
Snitz 2,5897,7,0.641323935,add_2-1
Snitz 2,5898,7,0.641323935,add_2-1
Snitz 2,5899,7,0.641323935,add_2-1
Snitz 2,5900,7,0.641323935,add_2-1
Snitz 2,5901,7,0.641323935,add_2-1
Snitz 2,5902,7,0.641323935,add_2-1
Snitz 2,5903,7,0.641323935,add_2-1
Snitz 2,5904,8,0.611684523,add_1-2
Snitz 2,5905,8,0.611684523,add_1-2
Snitz 2,5906,8,0.611684523,add_1-2
Snitz 2,5907,8,0.611684523,add_1-2
Snitz 2,5908,8,0.611684523,add_1-2
Snitz 2,5909,7,0.611684523,add_2-1
Snitz 2,5910,7,0.611684523,add_2-1
Snitz 2,5911,7,0.611684523,add_2-1
Snitz 2,5912,7,0.611684523,add_2-1
Snitz 2,5913,7,0.611684523,add_2-1
Snitz 2,5914,7,0.611684523,add_2-1
Snitz 2,5915,7,0.611684523,add_2-1
Snitz 2,5916,12,0.706568159,add_1-2
Snitz 2,5917,12,0.706568159,add_1-2
Snitz 2,5918,12,0.706568159,add_1-2
Snitz 2,5919,12,0.706568159,add_1-2
Snitz 2,5920,12,0.706568159,add_1-2
Snitz 2,5921,12,0.706568159,add_1-2
Snitz 2,5922,3,0.706568159,add_2-1
Snitz 2,5923,3,0.706568159,add_2-1
Snitz 2,5924,3,0.706568159,add_2-1
Snitz 2,5925,3,0.706568159,add_2-1
Snitz 2,5926,3,0.706568159,add_2-1
Snitz 2,5927,3,0.706568159,add_2-1
Snitz 2,5928,3,0.706568159,add_2-1
Snitz 2,5929,13,0.581259278,add_1-2
Snitz 2,5930,13,0.581259278,add_1-2
Snitz 2,5931,13,0.581259278,add_1-2
Snitz 2,5932,13,0.581259278,add_1-2
Snitz 2,5933,13,0.581259278,add_1-2
Snitz 2,5934,13,0.581259278,add_1-2
Snitz 2,5935,3,0.581259278,add_2-1
Snitz 2,5936,3,0.581259278,add_2-1
Snitz 2,5937,3,0.581259278,add_2-1
Snitz 2,5938,3,0.581259278,add_2-1
Snitz 2,5939,3,0.581259278,add_2-1
Snitz 2,5940,13,0.581259278,remove_1-2
Snitz 2,5941,13,0.581259278,remove_1-2
Snitz 2,5942,4,0.448164066,add_1-2
Snitz 2,5943,4,0.448164066,add_1-2
Snitz 2,5944,4,0.448164066,add_1-2
Snitz 2,5945,4,0.448164066,add_1-2
Snitz 2,5946,4,0.448164066,add_1-2
Snitz 2,5947,4,0.448164066,add_1-2
Snitz 2,5948,4,0.448164066,add_1-2
Snitz 2,5949,3,0.448164066,add_2-1
Snitz 2,5950,3,0.448164066,add_2-1
Snitz 2,5951,3,0.448164066,add_2-1
Snitz 2,5952,3,0.448164066,add_2-1
Snitz 2,5953,3,0.448164066,add_2-1
Snitz 2,5954,4,0.448164066,remove_1-2
Snitz 2,5955,4,0.448164066,remove_1-2
Snitz 2,5956,10,0.55311862,add_1-2
Snitz 2,5957,10,0.55311862,add_1-2
Snitz 2,5958,10,0.55311862,add_1-2
Snitz 2,5959,10,0.55311862,add_1-2
Snitz 2,5960,10,0.55311862,add_1-2
Snitz 2,5961,10,0.55311862,add_1-2
Snitz 2,5962,10,0.55311862,add_1-2
Snitz 2,5963,10,0.55311862,add_1-2
Snitz 2,5964,3,0.55311862,add_2-1
Snitz 2,5965,3,0.55311862,add_2-1
Snitz 2,5966,3,0.55311862,add_2-1
Snitz 2,5967,3,0.55311862,add_2-1
Snitz 2,5968,3,0.55311862,add_2-1
Snitz 2,5969,3,0.55311862,add_2-1
Snitz 2,5970,10,0.55311862,remove_1-2
Snitz 2,5971,5,0.381566352,add_1-2
Snitz 2,5972,5,0.381566352,add_1-2
Snitz 2,5973,5,0.381566352,add_1-2
Snitz 2,5974,9,0.381566352,add_2-1
Snitz 2,5975,9,0.381566352,add_2-1
Snitz 2,5976,9,0.381566352,add_2-1
Snitz 2,5977,9,0.381566352,add_2-1
Snitz 2,5978,9,0.381566352,add_2-1
Snitz 2,5979,9,0.381566352,add_2-1
Snitz 2,5980,9,0.381566352,add_2-1
Snitz 2,5981,5,0.381566352,remove_1-2
Snitz 2,5982,12,0.699182921,add_1-2
Snitz 2,5983,12,0.699182921,add_1-2
Snitz 2,5984,12,0.699182921,add_1-2
Snitz 2,5985,12,0.699182921,add_1-2
Snitz 2,5986,12,0.699182921,add_1-2
Snitz 2,5987,12,0.699182921,add_1-2
Snitz 2,5988,9,0.699182921,add_2-1
Snitz 2,5989,9,0.699182921,add_2-1
Snitz 2,5990,9,0.699182921,add_2-1
Snitz 2,5991,9,0.699182921,add_2-1
Snitz 2,5992,9,0.699182921,add_2-1
Snitz 2,5993,9,0.699182921,add_2-1
Snitz 2,5994,9,0.699182921,add_2-1
Snitz 2,5995,9,0.699182921,add_2-1
Snitz 2,5996,3,0.508135923,add_1-2
Snitz 2,5997,3,0.508135923,add_1-2
Snitz 2,5998,3,0.508135923,add_1-2
Snitz 2,5999,3,0.508135923,add_1-2
Snitz 2,6000,3,0.508135923,add_1-2
Snitz 2,6001,3,0.508135923,add_1-2
Snitz 2,6002,3,0.508135923,add_1-2
Snitz 2,6003,9,0.508135923,add_2-1
Snitz 2,6004,9,0.508135923,add_2-1
Snitz 2,6005,9,0.508135923,add_2-1
Snitz 2,6006,9,0.508135923,add_2-1
Snitz 2,6007,9,0.508135923,add_2-1
Snitz 2,6008,9,0.508135923,add_2-1
Snitz 2,6009,9,0.508135923,add_2-1
Snitz 2,6010,9,0.508135923,add_2-1
Snitz 2,6011,14,0.455659939,add_1-2
Snitz 2,6012,14,0.455659939,add_1-2
Snitz 2,6013,14,0.455659939,add_1-2
Snitz 2,6014,14,0.455659939,add_1-2
Snitz 2,6015,14,0.455659939,add_1-2
Snitz 2,6016,14,0.455659939,add_1-2
Snitz 2,6017,14,0.455659939,add_1-2
Snitz 2,6018,14,0.455659939,add_1-2
Snitz 2,6019,14,0.455659939,add_1-2
Snitz 2,6020,9,0.455659939,add_2-1
Snitz 2,6021,9,0.455659939,add_2-1
Snitz 2,6022,9,0.455659939,add_2-1
Snitz 2,6023,9,0.455659939,add_2-1
Snitz 2,6024,9,0.455659939,add_2-1
Snitz 2,6025,9,0.455659939,add_2-1
Snitz 2,6026,9,0.455659939,add_2-1
Snitz 2,6027,14,0.455659939,remove_1-2
Snitz 2,6028,1,0.549520134,add_1-2
Snitz 2,6029,1,0.549520134,add_1-2
Snitz 2,6030,1,0.549520134,add_1-2
Snitz 2,6031,1,0.549520134,add_1-2
Snitz 2,6032,13,0.549520134,add_2-1
Snitz 2,6033,13,0.549520134,add_2-1
Snitz 2,6034,13,0.549520134,add_2-1
Snitz 2,6035,13,0.549520134,add_2-1
Snitz 2,6036,13,0.549520134,add_2-1
Snitz 2,6037,13,0.549520134,add_2-1
Snitz 2,6038,13,0.549520134,add_2-1
Snitz 2,6039,13,0.549520134,add_2-1
Snitz 2,6040,2,0.566943825,add_1-2
Snitz 2,6041,2,0.566943825,add_1-2
Snitz 2,6042,2,0.566943825,add_1-2
Snitz 2,6043,2,0.566943825,add_1-2
Snitz 2,6044,13,0.566943825,add_2-1
Snitz 2,6045,13,0.566943825,add_2-1
Snitz 2,6046,13,0.566943825,add_2-1
Snitz 2,6047,13,0.566943825,add_2-1
Snitz 2,6048,13,0.566943825,add_2-1
Snitz 2,6049,13,0.566943825,add_2-1
Snitz 2,6050,13,0.566943825,add_2-1
Snitz 2,6051,2,0.566943825,remove_1-2
Snitz 2,6052,6,0.599266027,add_1-2
Snitz 2,6053,6,0.599266027,add_1-2
Snitz 2,6054,6,0.599266027,add_1-2
Snitz 2,6055,6,0.599266027,add_1-2
Snitz 2,6056,13,0.599266027,add_2-1
Snitz 2,6057,13,0.599266027,add_2-1
Snitz 2,6058,13,0.599266027,add_2-1
Snitz 2,6059,13,0.599266027,add_2-1
Snitz 2,6060,13,0.599266027,add_2-1
Snitz 2,6061,13,0.599266027,add_2-1
Snitz 2,6062,6,0.599266027,remove_1-2
Snitz 2,6063,6,0.599266027,remove_1-2
Snitz 2,6064,5,0.289236253,add_1-2
Snitz 2,6065,5,0.289236253,add_1-2
Snitz 2,6066,5,0.289236253,add_1-2
Snitz 2,6067,4,0.289236253,add_2-1
Snitz 2,6068,4,0.289236253,add_2-1
Snitz 2,6069,4,0.289236253,add_2-1
Snitz 2,6070,4,0.289236253,add_2-1
Snitz 2,6071,4,0.289236253,add_2-1
Snitz 2,6072,4,0.289236253,add_2-1
Snitz 2,6073,4,0.289236253,add_2-1
Snitz 2,6074,4,0.289236253,add_2-1
Snitz 2,6075,5,0.289236253,remove_1-2
Snitz 2,6076,8,0.483749082,add_1-2
Snitz 2,6077,8,0.483749082,add_1-2
Snitz 2,6078,8,0.483749082,add_1-2
Snitz 2,6079,8,0.483749082,add_1-2
Snitz 2,6080,8,0.483749082,add_1-2
Snitz 2,6081,4,0.483749082,add_2-1
Snitz 2,6082,4,0.483749082,add_2-1
Snitz 2,6083,4,0.483749082,add_2-1
Snitz 2,6084,4,0.483749082,add_2-1
Snitz 2,6085,4,0.483749082,add_2-1
Snitz 2,6086,4,0.483749082,add_2-1
Snitz 2,6087,4,0.483749082,add_2-1
Snitz 2,6088,4,0.483749082,add_2-1
Snitz 2,6089,4,0.483749082,add_2-1
Snitz 2,6090,13,0.622244157,add_1-2
Snitz 2,6091,13,0.622244157,add_1-2
Snitz 2,6092,13,0.622244157,add_1-2
Snitz 2,6093,13,0.622244157,add_1-2
Snitz 2,6094,13,0.622244157,add_1-2
Snitz 2,6095,13,0.622244157,add_1-2
Snitz 2,6096,13,0.622244157,add_1-2
Snitz 2,6097,4,0.622244157,add_2-1
Snitz 2,6098,4,0.622244157,add_2-1
Snitz 2,6099,4,0.622244157,add_2-1
Snitz 2,6100,4,0.622244157,add_2-1
Snitz 2,6101,4,0.622244157,add_2-1
Snitz 2,6102,4,0.622244157,add_2-1
Snitz 2,6103,4,0.622244157,add_2-1
Snitz 2,6104,4,0.622244157,add_2-1
Snitz 2,6105,13,0.622244157,remove_1-2
Snitz 2,6106,11,0.573445625,add_1-2
Snitz 2,6107,11,0.573445625,add_1-2
Snitz 2,6108,11,0.573445625,add_1-2
Snitz 2,6109,11,0.573445625,add_1-2
Snitz 2,6110,11,0.573445625,add_1-2
Snitz 2,6111,11,0.573445625,add_1-2
Snitz 2,6112,11,0.573445625,add_1-2
Snitz 2,6113,11,0.573445625,add_1-2
Snitz 2,6114,11,0.573445625,add_1-2
Snitz 2,6115,4,0.573445625,add_2-1
Snitz 2,6116,4,0.573445625,add_2-1
Snitz 2,6117,4,0.573445625,add_2-1
Snitz 2,6118,4,0.573445625,add_2-1
Snitz 2,6119,4,0.573445625,add_2-1
Snitz 2,6120,4,0.573445625,add_2-1
Snitz 2,6121,4,0.573445625,add_2-1
Snitz 2,6122,4,0.573445625,add_2-1
Snitz 2,6123,11,0.573445625,remove_1-2
Snitz 2,6124,9,0.483212535,add_1-2
Snitz 2,6125,9,0.483212535,add_1-2
Snitz 2,6126,9,0.483212535,add_1-2
Snitz 2,6127,9,0.483212535,add_1-2
Snitz 2,6128,9,0.483212535,add_1-2
Snitz 2,6129,9,0.483212535,add_1-2
Snitz 2,6130,9,0.483212535,add_1-2
Snitz 2,6131,10,0.483212535,add_2-1
Snitz 2,6132,10,0.483212535,add_2-1
Snitz 2,6133,10,0.483212535,add_2-1
Snitz 2,6134,10,0.483212535,add_2-1
Snitz 2,6135,10,0.483212535,add_2-1
Snitz 2,6136,10,0.483212535,add_2-1
Snitz 2,6137,10,0.483212535,add_2-1
Snitz 2,6138,10,0.483212535,add_2-1
Snitz 2,6139,9,0.483212535,remove_1-2
Snitz 2,6140,4,0.399586021,add_1-2
Snitz 2,6141,4,0.399586021,add_1-2
Snitz 2,6142,4,0.399586021,add_1-2
Snitz 2,6143,4,0.399586021,add_1-2
Snitz 2,6144,4,0.399586021,add_1-2
Snitz 2,6145,4,0.399586021,add_1-2
Snitz 2,6146,4,0.399586021,add_1-2
Snitz 2,6147,4,0.399586021,add_1-2
Snitz 2,6148,10,0.399586021,add_2-1
Snitz 2,6149,10,0.399586021,add_2-1
Snitz 2,6150,10,0.399586021,add_2-1
Snitz 2,6151,10,0.399586021,add_2-1
Snitz 2,6152,10,0.399586021,add_2-1
Snitz 2,6153,10,0.399586021,add_2-1
Snitz 2,6154,10,0.399586021,add_2-1
Snitz 2,6155,10,0.399586021,add_2-1
Snitz 2,6156,4,0.399586021,remove_1-2
Snitz 2,6157,1,0.65665315,add_1-2
Snitz 2,6158,1,0.65665315,add_1-2
Snitz 2,6159,1,0.65665315,add_1-2
Snitz 2,6160,14,0.65665315,add_2-1
Snitz 2,6161,14,0.65665315,add_2-1
Snitz 2,6162,14,0.65665315,add_2-1
Snitz 2,6163,14,0.65665315,add_2-1
Snitz 2,6164,14,0.65665315,add_2-1
Snitz 2,6165,14,0.65665315,add_2-1
Snitz 2,6166,14,0.65665315,add_2-1
Snitz 2,6167,14,0.65665315,add_2-1
Snitz 2,6168,14,0.65665315,add_2-1
Snitz 2,6169,1,0.65665315,remove_1-2
Snitz 2,6170,6,0.663165187,add_1-2
Snitz 2,6171,6,0.663165187,add_1-2
Snitz 2,6172,6,0.663165187,add_1-2
Snitz 2,6173,6,0.663165187,add_1-2
Snitz 2,6174,6,0.663165187,add_1-2
Snitz 2,6175,14,0.663165187,add_2-1
Snitz 2,6176,14,0.663165187,add_2-1
Snitz 2,6177,14,0.663165187,add_2-1
Snitz 2,6178,14,0.663165187,add_2-1
Snitz 2,6179,14,0.663165187,add_2-1
Snitz 2,6180,14,0.663165187,add_2-1
Snitz 2,6181,14,0.663165187,add_2-1
Snitz 2,6182,14,0.663165187,add_2-1
Snitz 2,6183,14,0.663165187,add_2-1
Snitz 2,6184,6,0.663165187,remove_1-2
Snitz 2,6185,7,0.33198546,add_1-2
Snitz 2,6186,7,0.33198546,add_1-2
Snitz 2,6187,7,0.33198546,add_1-2
Snitz 2,6188,7,0.33198546,add_1-2
Snitz 2,6189,7,0.33198546,add_1-2
Snitz 2,6190,14,0.33198546,add_2-1
Snitz 2,6191,14,0.33198546,add_2-1
Snitz 2,6192,14,0.33198546,add_2-1
Snitz 2,6193,14,0.33198546,add_2-1
Snitz 2,6194,14,0.33198546,add_2-1
Snitz 2,6195,14,0.33198546,add_2-1
Snitz 2,6196,14,0.33198546,add_2-1
Snitz 2,6197,14,0.33198546,add_2-1
Snitz 2,6198,7,0.33198546,remove_1-2
Snitz 2,6199,7,0.33198546,remove_1-2
Snitz 2,6200,13,0.595095117,add_1-2
Snitz 2,6201,13,0.595095117,add_1-2
Snitz 2,6202,13,0.595095117,add_1-2
Snitz 2,6203,13,0.595095117,add_1-2
Snitz 2,6204,13,0.595095117,add_1-2
Snitz 2,6205,13,0.595095117,add_1-2
Snitz 2,6206,13,0.595095117,add_1-2
Snitz 2,6207,14,0.595095117,add_2-1
Snitz 2,6208,14,0.595095117,add_2-1
Snitz 2,6209,14,0.595095117,add_2-1
Snitz 2,6210,14,0.595095117,add_2-1
Snitz 2,6211,14,0.595095117,add_2-1
Snitz 2,6212,14,0.595095117,add_2-1
Snitz 2,6213,14,0.595095117,add_2-1
Snitz 2,6214,14,0.595095117,add_2-1
Snitz 2,6215,14,0.595095117,add_2-1
Snitz 2,6216,13,0.595095117,remove_1-2
Snitz 2,6217,10,0.347093793,add_1-2
Snitz 2,6218,10,0.347093793,add_1-2
Snitz 2,6219,10,0.347093793,add_1-2
Snitz 2,6220,10,0.347093793,add_1-2
Snitz 2,6221,10,0.347093793,add_1-2
Snitz 2,6222,10,0.347093793,add_1-2
Snitz 2,6223,10,0.347093793,add_1-2
Snitz 2,6224,14,0.347093793,add_2-1
Snitz 2,6225,14,0.347093793,add_2-1
Snitz 2,6226,14,0.347093793,add_2-1
Snitz 2,6227,14,0.347093793,add_2-1
Snitz 2,6228,14,0.347093793,add_2-1
Snitz 2,6229,14,0.347093793,add_2-1
Snitz 2,6230,14,0.347093793,add_2-1
Snitz 2,6231,14,0.347093793,add_2-1
Snitz 2,6232,10,0.347093793,remove_1-2
Snitz 2,6233,10,0.347093793,remove_1-2
Snitz 2,6234,1,0.379850967,add_1-2
Snitz 2,6235,1,0.379850967,add_1-2
Snitz 2,6236,1,0.379850967,add_1-2
Snitz 2,6237,1,0.379850967,add_1-2
Snitz 2,6238,11,0.379850967,add_2-1
Snitz 2,6239,11,0.379850967,add_2-1
Snitz 2,6240,11,0.379850967,add_2-1
Snitz 2,6241,11,0.379850967,add_2-1
Snitz 2,6242,11,0.379850967,add_2-1
Snitz 2,6243,11,0.379850967,add_2-1
Snitz 2,6244,11,0.379850967,add_2-1
Snitz 2,6245,11,0.379850967,add_2-1
Snitz 2,6246,11,0.379850967,add_2-1
Snitz 2,6247,11,0.379850967,add_2-1
Snitz 2,6248,2,0.478150495,add_1-2
Snitz 2,6249,2,0.478150495,add_1-2
Snitz 2,6250,2,0.478150495,add_1-2
Snitz 2,6251,2,0.478150495,add_1-2
Snitz 2,6252,2,0.478150495,add_1-2
Snitz 2,6253,11,0.478150495,add_2-1
Snitz 2,6254,11,0.478150495,add_2-1
Snitz 2,6255,11,0.478150495,add_2-1
Snitz 2,6256,11,0.478150495,add_2-1
Snitz 2,6257,11,0.478150495,add_2-1
Snitz 2,6258,11,0.478150495,add_2-1
Snitz 2,6259,11,0.478150495,add_2-1
Snitz 2,6260,11,0.478150495,add_2-1
Snitz 2,6261,11,0.478150495,add_2-1
Snitz 2,6262,11,0.478150495,add_2-1
Snitz 2,6263,8,0.519923765,add_1-2
Snitz 2,6264,8,0.519923765,add_1-2
Snitz 2,6265,8,0.519923765,add_1-2
Snitz 2,6266,8,0.519923765,add_1-2
Snitz 2,6267,8,0.519923765,add_1-2
Snitz 2,6268,11,0.519923765,add_2-1
Snitz 2,6269,11,0.519923765,add_2-1
Snitz 2,6270,11,0.519923765,add_2-1
Snitz 2,6271,11,0.519923765,add_2-1
Snitz 2,6272,11,0.519923765,add_2-1
Snitz 2,6273,11,0.519923765,add_2-1
Snitz 2,6274,11,0.519923765,add_2-1
Snitz 2,6275,11,0.519923765,add_2-1
Snitz 2,6276,11,0.519923765,add_2-1
Snitz 2,6277,11,0.519923765,add_2-1
Snitz 2,6278,12,0.652060266,add_1-2
Snitz 2,6279,12,0.652060266,add_1-2
Snitz 2,6280,12,0.652060266,add_1-2
Snitz 2,6281,12,0.652060266,add_1-2
Snitz 2,6282,12,0.652060266,add_1-2
Snitz 2,6283,11,0.652060266,add_2-1
Snitz 2,6284,11,0.652060266,add_2-1
Snitz 2,6285,11,0.652060266,add_2-1
Snitz 2,6286,11,0.652060266,add_2-1
Snitz 2,6287,11,0.652060266,add_2-1
Snitz 2,6288,11,0.652060266,add_2-1
Snitz 2,6289,11,0.652060266,add_2-1
Snitz 2,6290,11,0.652060266,add_2-1
Snitz 2,6291,11,0.652060266,add_2-1
Snitz 2,6292,12,0.652060266,remove_1-2
Snitz 2,6293,13,0.4955536,add_1-2
Snitz 2,6294,13,0.4955536,add_1-2
Snitz 2,6295,13,0.4955536,add_1-2
Snitz 2,6296,13,0.4955536,add_1-2
Snitz 2,6297,13,0.4955536,add_1-2
Snitz 2,6298,11,0.4955536,add_2-1
Snitz 2,6299,11,0.4955536,add_2-1
Snitz 2,6300,11,0.4955536,add_2-1
Snitz 2,6301,11,0.4955536,add_2-1
Snitz 2,6302,11,0.4955536,add_2-1
Snitz 2,6303,11,0.4955536,add_2-1
Snitz 2,6304,11,0.4955536,add_2-1
Snitz 2,6305,13,0.4955536,remove_1-2
Snitz 2,6306,13,0.4955536,remove_1-2
Snitz 2,6307,13,0.4955536,remove_1-2
Snitz 2,6308,5,0.365823651,add_1-2
Snitz 2,6309,5,0.365823651,add_1-2
Snitz 2,6310,5,0.365823651,add_1-2
Snitz 2,6311,5,0.365823651,add_1-2
Snitz 2,6312,1,0.365823651,add_2-1
Snitz 2,6313,1,0.365823651,add_2-1
Snitz 2,6314,1,0.365823651,add_2-1
Snitz 2,6315,1,0.365823651,add_2-1
Snitz 2,6316,8,0.640420003,add_1-2
Snitz 2,6317,8,0.640420003,add_1-2
Snitz 2,6318,8,0.640420003,add_1-2
Snitz 2,6319,8,0.640420003,add_1-2
Snitz 2,6320,8,0.640420003,add_1-2
Snitz 2,6321,1,0.640420003,add_2-1
Snitz 2,6322,1,0.640420003,add_2-1
Snitz 2,6323,1,0.640420003,add_2-1
Snitz 2,6324,1,0.640420003,add_2-1
Snitz 2,6325,6,0.554831352,add_1-2
Snitz 2,6326,6,0.554831352,add_1-2
Snitz 2,6327,6,0.554831352,add_1-2
Snitz 2,6328,6,0.554831352,add_1-2
Snitz 2,6329,6,0.554831352,add_1-2
Snitz 2,6330,1,0.554831352,add_2-1
Snitz 2,6331,1,0.554831352,add_2-1
Snitz 2,6332,1,0.554831352,add_2-1
Snitz 2,6333,6,0.554831352,remove_1-2
Snitz 2,6334,12,0.461249656,add_1-2
Snitz 2,6335,12,0.461249656,add_1-2
Snitz 2,6336,12,0.461249656,add_1-2
Snitz 2,6337,12,0.461249656,add_1-2
Snitz 2,6338,1,0.461249656,add_2-1
Snitz 2,6339,1,0.461249656,add_2-1
Snitz 2,6340,12,0.461249656,remove_1-2
Snitz 2,6341,12,0.461249656,remove_1-2
Snitz 2,6342,9,0.531256662,add_1-2
Snitz 2,6343,9,0.531256662,add_1-2
Snitz 2,6344,9,0.531256662,add_1-2
Snitz 2,6345,9,0.531256662,add_1-2
Snitz 2,6346,9,0.531256662,add_1-2
Snitz 2,6347,9,0.531256662,add_1-2
Snitz 2,6348,9,0.531256662,add_1-2
Snitz 2,6349,9,0.531256662,add_1-2
Snitz 2,6350,1,0.531256662,add_2-1
Snitz 2,6351,1,0.531256662,add_2-1
Snitz 2,6352,1,0.531256662,add_2-1
